========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA: soluzioni/soluzione_grid_7.txt
   Dimensioni Griglia: 70x70 | Start: (0,0) | Goal: (69,69)
========================================================================================

--- MATRICE DEI VALORI V* ---
  -19.89   -19.89   -19.88   -19.88   -19.87   -19.86   -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62   -19.60   -19.57   -19.55   -19.53   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33 
  -19.89   -19.88   -19.88   -19.87   -19.86   -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62   -19.60   -19.57   -19.55   -19.53   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14 
  -19.88   -19.88     0.00     0.00     0.00   -19.85   -19.84     0.00     0.00     0.00   -19.80   -19.79     0.00     0.00     0.00   -19.75   -19.73     0.00     0.00     0.00   -19.67   -19.65     0.00     0.00     0.00   -19.57   -19.55     0.00     0.00     0.00   -19.45   -19.42     0.00     0.00     0.00   -19.29   -19.25     0.00     0.00     0.00   -19.08   -19.03     0.00     0.00     0.00   -18.81   -18.75     0.00     0.00     0.00   -18.47   -18.39     0.00     0.00     0.00   -18.02   -17.91     0.00     0.00     0.00   -17.44   -17.30     0.00     0.00     0.00   -16.69   -16.52   -16.33   -16.14   -15.94 
  -19.88   -19.87     0.00     0.00     0.00   -19.84   -19.83     0.00     0.00     0.00   -19.79   -19.78     0.00     0.00     0.00   -19.73   -19.72     0.00     0.00     0.00   -19.65   -19.64     0.00     0.00     0.00   -19.55   -19.53     0.00     0.00     0.00   -19.42   -19.39     0.00     0.00     0.00   -19.25   -19.21     0.00     0.00     0.00   -19.03   -18.98     0.00     0.00     0.00   -18.75   -18.69     0.00     0.00     0.00   -18.39   -18.30     0.00     0.00     0.00   -17.91   -17.80     0.00     0.00     0.00   -17.30   -17.16     0.00     0.00     0.00   -16.52   -16.33   -16.14   -15.94   -15.72 
  -19.87   -19.86     0.00     0.00     0.00   -19.83   -19.82     0.00     0.00     0.00   -19.78   -19.77     0.00     0.00     0.00   -19.72   -19.70     0.00     0.00     0.00   -19.64   -19.62     0.00     0.00     0.00   -19.53   -19.50     0.00     0.00     0.00   -19.39   -19.36     0.00     0.00     0.00   -19.21   -19.17     0.00     0.00     0.00   -18.98   -18.93     0.00     0.00     0.00   -18.69   -18.62     0.00     0.00     0.00   -18.30   -18.21     0.00     0.00     0.00   -17.80   -17.69     0.00     0.00     0.00   -17.16   -17.01     0.00     0.00     0.00   -16.33   -16.14   -15.94   -15.72   -15.50 
  -19.86   -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62   -19.60   -19.57   -19.55   -19.53   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26 
  -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62   -19.60   -19.57   -19.55   -19.53   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01 
  -19.85   -19.84     0.00     0.00     0.00   -19.80   -19.79     0.00     0.00     0.00   -19.75   -19.73     0.00     0.00     0.00   -19.67   -19.65     0.00     0.00     0.00   -19.57   -19.55     0.00     0.00     0.00   -19.45   -19.42     0.00     0.00     0.00   -19.29   -19.25     0.00     0.00     0.00   -19.08   -19.03     0.00     0.00     0.00   -18.81   -18.75     0.00     0.00     0.00   -18.47   -18.39     0.00     0.00     0.00   -18.02   -17.91     0.00     0.00     0.00   -17.44   -17.30     0.00     0.00     0.00   -16.69   -16.52     0.00     0.00     0.00   -15.72   -15.50   -15.26   -15.01   -14.75 
  -19.84   -19.83     0.00     0.00     0.00   -19.79   -19.78     0.00     0.00     0.00   -19.73   -19.72     0.00     0.00     0.00   -19.65   -19.64     0.00     0.00     0.00   -19.55   -19.53     0.00     0.00     0.00   -19.42   -19.39     0.00     0.00     0.00   -19.25   -19.21     0.00     0.00     0.00   -19.03   -18.98     0.00     0.00     0.00   -18.75   -18.69     0.00     0.00     0.00   -18.39   -18.30     0.00     0.00     0.00   -17.91   -17.80     0.00     0.00     0.00   -17.30   -17.16     0.00     0.00     0.00   -16.52   -16.33     0.00     0.00     0.00   -15.50   -15.26   -15.01   -14.75   -14.47 
  -19.83   -19.82     0.00     0.00     0.00   -19.78   -19.77     0.00     0.00     0.00   -19.72   -19.70     0.00     0.00     0.00   -19.64   -19.62     0.00     0.00     0.00   -19.53   -19.50     0.00     0.00     0.00   -19.39   -19.36     0.00     0.00     0.00   -19.21   -19.17     0.00     0.00     0.00   -18.98   -18.93     0.00     0.00     0.00   -18.69   -18.62     0.00     0.00     0.00   -18.30   -18.21     0.00     0.00     0.00   -17.80   -17.69     0.00     0.00     0.00   -17.16   -17.01     0.00     0.00     0.00   -16.33   -16.14     0.00     0.00     0.00   -15.26   -15.01   -14.75   -14.47   -14.18 
  -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62   -19.60   -19.57   -19.55   -19.53   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87 
