========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA (STANDARD): soluzioni/soluzione_std_grid_3.txt
   Dimensioni Griglia: 30x30 | Start: (0,0) | Goal: (15,15)
========================================================================================

--- MATRICE DEI VALORI V* ---
. . # * # # # # # # # # # # # # # # # # # # # # # # . # . . 
. . # * * * . . . . . . . . . . . . . . . . . . . # . # . . 
. . # . # * # # # # # # # # # # # # # # # # # # . # . # . . 
. . # . # * * * . . . . . . . . . . . . . . . # . # . # . . 
. . # . # . # * # # # # # # # # # # # # # # . # . # . # . . 
. . # . # . # * * * . . . . . . . . . . . # . # . # . # . . 
. . # . # . # . # * # # # # # # # # # # . # . # . # . # . . 
. . # . # . # . # * * * . . . . . . . # . # . # . # . # . . 
. . # . # . # . # . # * # # # # # # . # . # . # . # . # . . 
. . # . # . # . # . # * * * . . . # . # . # . # . # . # . . 
. . # . # . # . # . # . # * . . . # . # . # . # . # . # . . 
. . # . # . # . # . # . # * * G . # . # . # . # . # . # . . 
. . # . # . # . # . # . # . . . . # . # . # . # . # . # . . 
. . # . # . # . # . # . # # # # # # . # . # . # . # . # . . 
. . # . # . # . # . # . . . . . . . . # . # . # . # . # . . 
. . # . # . # . # . # # # # # # # # # # . # . # . # . # . . 
. . # . # . # . # . . . . . . . . . . . . # . # . # . # . . 
. . # . # . # . # # # # # # # # # # # # # # . # . # . # . . 
. . # . # . # . . . . . . . . . . . . . . . . # . # . # . . 
. . # . # . # # # # # # # # # # # # # # # # # # . # . # . . 
. . # . # . . . . . . . . . . . . . . . . . . . . # . # . . 
. . # . # # # # # # # # # # # # # # # # # # # # # # . # . . 
. . # . . . . . . . . . . . . . . . . . . . . . . . . # . . 
. . # # # # # # # # # # # # # # # # # # # # # # # # # # . . 
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 

--- SEQUENZA COORDINATE DEL PERCORSO (N = 30) ---
(0,0) -> (1,0) -> (2,0) -> (3,0) -> (3,1) -> (3,2) -> (3,3) -> (4,3) -> (5,3) -> (5,4) -> 
(5,5) -> (6,5) -> (7,5) -> (7,6) -> (7,7) -> (8,7) -> (9,7) -> (9,8) -> (9,9) -> (10,9) -> 
(11,9) -> (11,10) -> (11,11) -> (12,11) -> (13,11) -> (13,12) -> (13,13) -> (14,13) -> (15,13) -> (15,14) -> 
(15,15)
