========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA: soluzioni/soluzione_grid_9.txt
   Dimensioni Griglia: 100x100 | Start: (0,0) | Goal: (99,99)
========================================================================================

--- MATRICE DEI VALORI V* ---
  -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97   -19.97   -19.97     0.00   -19.97   -19.97   -19.96   -19.96   -19.96   -19.96   -19.96   -19.95   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90   -19.90   -19.89     0.00   -19.88   -19.88   -19.87   -19.86   -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62     0.00   -19.57   -19.55   -19.53   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.29   -19.33   -19.36   -19.39   -19.42   -19.45   -19.48   -19.50   -19.53   -19.55   -19.57   -19.60 
  -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.96   -19.96   -19.96   -19.96   -19.96   -19.95   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90   -19.90   -19.89   -19.89   -19.88   -19.88   -19.87   -19.86   -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62   -19.60   -19.57   -19.55   -19.53   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.25   -19.29   -19.33   -19.36   -19.39   -19.42   -19.45   -19.48   -19.50   -19.53   -19.55   -19.57 
  -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97   -19.97   -19.97     0.00   -19.96   -19.96   -19.96   -19.96   -19.96   -19.95   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90   -19.90   -19.89     0.00   -19.87   -19.86   -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62     0.00   -19.53   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.21   -19.25   -19.29   -19.33   -19.36   -19.39   -19.42   -19.45   -19.48   -19.50   -19.53   -19.55 
  -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97   -19.97     0.00   -19.96   -19.96   -19.96   -19.96   -19.95   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94   -19.93   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90   -19.90     0.00   -19.86   -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.77   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64     0.00   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.17   -19.21   -19.25   -19.29   -19.33   -19.36   -19.39   -19.42   -19.45   -19.48   -19.50   -19.53 
  -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97     0.00   -19.96   -19.96   -19.96   -19.95   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90     0.00   -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.76   -19.77   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65     0.00   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.13   -19.17   -19.21   -19.25   -19.29   -19.33   -19.36   -19.39   -19.42   -19.45   -19.48   -19.50 
  -19.99   -19.99   -19.99   -19.99   -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97     0.00   -19.96   -19.96   -19.95   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.93   -19.93   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91     0.00   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.75   -19.76   -19.77   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67     0.00   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -19.08   -19.13   -19.17   -19.21   -19.25   -19.29   -19.33   -19.36   -19.39   -19.42   -19.45   -19.48 
  -19.99   -19.99   -19.99   -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98     0.00   -19.96   -19.95   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.93   -19.93   -19.93   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91     0.00   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.73   -19.75   -19.76   -19.77   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69     0.00   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -19.03   -19.08   -19.13   -19.17   -19.21   -19.25   -19.29   -19.33   -19.36   -19.39   -19.42   -19.45 
  -19.99   -19.99   -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98     0.00   -19.95   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.92   -19.93   -19.93   -19.93   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92     0.00   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.72   -19.73   -19.75   -19.76   -19.77   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70     0.00   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.98   -19.03   -19.08   -19.13   -19.17   -19.21   -19.25   -19.29   -19.33   -19.36   -19.39   -19.42 
  -19.99   -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98     0.00   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.92   -19.92   -19.93   -19.93   -19.93   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92     0.00   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.70   -19.72   -19.73   -19.75   -19.76   -19.77   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72     0.00   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.93   -18.98   -19.03   -19.08   -19.13   -19.17   -19.21   -19.25   -19.29   -19.33   -19.36   -19.39 
  -19.99   -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98     0.00   -19.95   -19.95   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.91   -19.92   -19.92   -19.93   -19.93   -19.93   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93     0.00   -19.81   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.69   -19.70   -19.72   -19.73   -19.75   -19.76   -19.77   -19.78   -19.77   -19.76   -19.75   -19.73     0.00   -19.33   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.87   -18.93   -18.98   -19.03   -19.08   -19.13   -19.17   -19.21   -19.25   -19.29   -19.33   -19.36 
  -19.99   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97   -19.97   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98     0.00   -19.95   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90   -19.91   -19.91   -19.92   -19.92   -19.93   -19.93   -19.93   -19.94   -19.94   -19.94   -19.93   -19.93     0.00   -19.80   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.67   -19.69   -19.70   -19.72   -19.73   -19.75   -19.76   -19.77   -19.78   -19.77   -19.76   -19.75     0.00   -19.29   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.81   -18.87   -18.93   -18.98   -19.03   -19.08   -19.13   -19.17   -19.21   -19.25   -19.29   -19.33 
  -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97   -19.97   -19.97   -19.97   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98     0.00   -19.94   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90   -19.90   -19.90   -19.91   -19.91   -19.92   -19.92   -19.93   -19.93   -19.93   -19.94   -19.94   -19.94   -19.93     0.00   -19.79   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.65   -19.67   -19.69   -19.70   -19.72   -19.73   -19.75   -19.76   -19.77   -19.78   -19.77   -19.76     0.00   -19.25   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.75   -18.81   -18.87   -18.93   -18.98   -19.03   -19.08   -19.13   -19.17   -19.21   -19.25   -19.29 
  -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98     0.00   -19.94   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90   -19.90   -19.89   -19.90   -19.90   -19.91   -19.91   -19.92   -19.92   -19.93   -19.93   -19.93   -19.94   -19.94   -19.94     0.00   -19.78   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62   -19.64   -19.65   -19.67   -19.69   -19.70   -19.72   -19.73   -19.75   -19.76   -19.77   -19.78   -19.77     0.00   -19.21   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.69   -18.75   -18.81   -18.87   -18.93   -18.98   -19.03   -19.08   -19.13   -19.17   -19.21   -19.25 
  -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.98     0.00   -19.94   -19.93   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90   -19.90   -19.89   -19.89   -19.89   -19.90   -19.90   -19.91   -19.91   -19.92   -19.92   -19.93   -19.93   -19.93   -19.94   -19.94     0.00   -19.77   -19.76   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62   -19.60   -19.62   -19.64   -19.65   -19.67   -19.69   -19.70   -19.72   -19.73   -19.75   -19.76   -19.77   -19.78     0.00   -19.17   -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.62   -18.69   -18.75   -18.81   -18.87   -18.93   -18.98   -19.03   -19.08   -19.13   -19.17   -19.21 
    0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -19.97     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -19.88     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -19.57     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -18.47     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00 
  -19.98   -19.98   -19.98   -19.98   -19.98   -19.98   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.97   -19.96   -19.96   -19.96   -19.96   -19.96   -19.95   -19.95   -19.95   -19.95   -19.94   -19.94   -19.94     0.00   -19.93   -19.93   -19.92   -19.92   -19.91   -19.91   -19.90   -19.90   -19.89   -19.89   -19.88   -19.88   -19.87   -19.86   -19.86   -19.85   -19.84   -19.83   -19.82   -19.81   -19.80   -19.79   -19.78   -19.77     0.00   -19.75   -19.73   -19.72   -19.70   -19.69   -19.67   -19.65   -19.64   -19.62   -19.60   -19.57   -19.55   -19.53   -19.50   -19.48   -19.45   -19.42   -19.39   -19.36   -19.33   -19.29   -19.25   -19.21   -19.17     0.00   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.47   -18.54   -18.62   -18.69   -18.75   -18.81   -18.87   -18.93   -18.98   -19.03   -19.08   -19.13 
